Pay	Frequency
0	765294059
2	35996309
3	21430265
4	43647245
5	2459756
6	17808864
7	3099432
8	22008316
9	3087416
10	7370994
11	1682349
12	11831972
13	434003
14	2274416
15	632716
16	7700785
17	285121
18	2073032
19	742392
20	6901625
21	147763
22	1036010
23	383979
24	6816151
25	430305
26	878446
27	500447
28	920093
29	124810
30	2550433
31	110799
32	2302461
33	29446
34	559582
35	239447
36	957377
37	39833
38	251035
39	37392
40	5580542
41	9900
42	427084
43	257413
44	571738
45	91191
46	328132
47	83820
48	2387047
49	17450
50	609611
51	146885
52	359498
53	54358
54	228369
55	31988
56	162892
57	8945
58	84696
59	10236
60	2086119
61	4028
62	139072
63	18301
64	524559
65	31571
66	108072
67	65238
68	126524
69	6426
70	88148
71	8275
72	459741
73	2367
74	45840
75	176123
76	45625
77	4749
78	22257
79	3997
80	2470616
81	1962
82	146193
83	123784
84	179799
85	30423
86	108153
87	24042
88	99580
89	5684
90	354381
91	8899
92	92770
93	3438
94	38258
95	6226
96	493476
97	2592
98	43172
99	28839
100	359083
101	4675
102	40422
103	12935
104	67841
105	5309
106	27960
107	3404
108	47859
109	188
110	24962
111	820
112	30723
113	522
114	16655
115	1709
116	10935
117	634
118	4531
119	514
120	895435
121	113
122	54306
123	20035
124	77789
125	10919
126	32902
127	9063
128	81743
129	1202
130	25670
131	8367
132	30143
133	597
134	14443
135	1475
136	16179
137	126
138	6070
139	691
140	34399
141	69
142	4513
143	465
144	140536
145	684
146	5250
147	2349
148	6808
149	1204
150	120156
151	421
152	6929
153	5349
154	6816
155	3434
156	4171
157	1607
158	4498
159	135
160	675198
161	654
162	41778
163	39687
164	37718
165	7074
166	24442
167	5332
168	23994
169	745
170	19098
171	1843
172	16167
173	455
174	5574
175	847
176	5864
177	101
178	2720
179	281
180	192241
182	11002
183	1398
184	10511
185	1976
186	4678
187	1290
188	6301
189	163
190	7038
191	523
192	70978
193	77
194	7029
195	5369
196	3293
197	318
198	2424
199	307
200	159474
201	2
202	13644
203	640
204	9080
205	40
206	4039
207	45
208	5983
209	5
210	4800
211	33
212	11015
213	54
214	7842
215	57
216	14909
218	1155
219	8
220	9788
221	5
222	1372
223	33
224	5025
225	29414
226	2414
227	848
228	1282
229	497
230	1952
231	26
232	1350
233	703
234	368
235	335
236	540
237	129
238	207
239	143
240	305774
241	67
242	18861
243	10547
244	25200
245	3528
246	10328
247	2773
248	12553
249	488
250	6397
251	965
252	9007
253	153
254	3508
255	382
256	6315
257	94
258	1601
259	445
260	6866
261	14
262	1962
263	22
264	3291
265	157
266	1089
267	113
268	1044
269	201
270	15216
272	867
273	103
274	123
275	113
276	290
277	82
278	68
279	35
280	6156
281	10
282	894
283	81
284	540
285	13
286	52
287	19
288	34371
289	86
290	1270
291	1035
292	552
293	260
294	404
295	35
296	248
297	7
298	154
299	17
300	70683
302	1735
303	5093
304	5273
305	1133
306	3497
307	483
308	3086
309	42
310	2357
311	151
312	2560
313	26
314	2712
315	31
316	647
317	35
318	381
319	6
320	127370
322	6582
323	8411
324	9398
325	1242
326	4109
327	1033
328	4577
329	83
330	3733
331	298
332	3122
333	71
334	329
335	84
336	892
338	426
339	6
340	6228
341	11
342	1350
343	11
344	1587
345	15
346	270
347	44
348	455
349	8
350	1115
351	6
352	451
353	6
354	134
355	17
356	101
357	1
358	122
360	87136
362	4971
363	2974
364	3205
365	1397
366	2999
367	718
368	2915
369	67
370	1567
371	336
372	1195
373	3
374	539
375	57
376	609
377	5
378	208
379	73
380	1868
382	230
383	7
384	6298
385	10
386	552
387	419
388	208
389	12
390	59
392	183
393	3
394	58
395	11
396	38
397	7
398	19
399	1
400	40086
401	4
402	3179
403	10
404	1441
406	683
408	1135
409	2
410	463
411	2
412	2339
414	1367
416	333
418	121
420	1780
422	153
424	947
425	229
426	718
427	31
428	243
429	3
430	9
432	5746
433	11
434	29
435	2
436	110
437	33
438	29
440	870
441	3
442	67
443	1
444	163
445	7
446	1
448	106
450	35995
452	299
453	1401
454	1194
455	598
456	586
457	270
458	868
460	712
461	101
462	359
464	169
465	9
466	54
468	67
469	5
470	855
472	33
474	365
475	15
476	7
477	6
478	103
479	5
480	83302
482	4692
483	3791
484	5846
485	766
486	2272
487	559
488	2583
489	24
490	1710
491	189
492	1622
494	415
495	49
496	424
498	156
499	21
500	1562
502	631
503	7
504	578
506	136
507	17
508	176
510	134
512	113
513	5
514	73
515	3
516	39
517	7
518	7
520	1004
521	2
522	294
523	4
524	55
525	2
526	1
528	213
530	174
531	2
532	15
534	25
535	1
536	30
538	11
540	19194
542	352
543	89
544	402
545	352
546	357
547	136
548	367
549	24
550	250
551	52
552	129
554	63
555	7
556	77
557	1
558	46
559	12
560	322
562	64
563	1
564	36
566	21
567	2
568	130
570	19
572	12
574	12
576	4671
578	208
579	206
580	10
582	3
584	8
586	3
588	9
590	1
592	1
595	1
596	6
600	30516
602	993
603	2256
604	2197
605	146
606	1550
607	72
608	1048
610	860
611	12
612	1102
614	985
616	182
618	79
620	1833
622	50
624	463
625	78
626	302
627	23
628	77
629	3
630	108
632	74
633	6
634	10
635	1
636	14
638	5
640	18030
641	1
642	510
643	1040
644	1402
645	65
646	340
647	44
648	538
650	782
651	15
652	608
654	18
656	99
658	111
660	605
662	114
664	200
666	31
668	34
670	184
672	28
674	14
675	7546
676	13
677	28
678	13
679	50
680	524
682	76
683	51
684	17
685	37
686	14
687	3
688	37
689	11
690	8
691	6
692	6
694	1
695	10
696	4
699	42
700	197
702	3
703	7
704	16
708	27
711	1
712	1
715	13
716	2
717	1
719	7
720	37579
722	2522
723	2098
724	1000
725	428
726	1218
727	188
728	937
729	10
730	630
731	70
732	228
734	55
735	8
736	100
738	18
739	11
740	253
742	61
743	2
744	29
746	21
747	2
748	35
750	33
752	3
754	4
755	1
756	5
758	4
760	49
762	18
764	2
768	13
770	1
774	1
776	2
780	4
782	6
800	4511
802	327
804	105
806	45
808	96
810	334
812	234
814	91
816	13
818	9
820	107
822	8
824	84
