Pay	Frequency
0	99499671
4	2330
6	5633
8	9949
9	3284
10	2013
12	16036
14	1119
15	1935
16	16089
18	5941
20	6923
21	1359
22	679
24	18646
25	166
26	320
27	921
28	3795
30	5970
32	13393
33	1005
34	269
35	435
36	8568
38	456
39	511
40	10453
42	3015
44	2125
45	1146
46	332
48	15004
49	120
50	1682
51	394
52	1309
54	2479
55	506
56	4902
57	714
58	218
60	9463
62	247
63	459
64	7246
65	231
66	1750
68	1101
69	478
70	1786
72	8055
74	147
75	674
76	1252
77	179
78	1578
80	9247
81	536
82	153
84	3888
85	197
86	205
87	324
88	2423
90	2887
91	83
92	1004
93	331
94	166
95	345
96	8820
98	453
99	288
100	3095
102	1224
104	1992
105	620
106	115
108	2799
110	918
111	217
112	3465
114	1021
115	282
116	661
117	270
118	127
119	75
120	8461
122	81
123	183
124	700
125	164
126	1354
128	3283
129	327
130	721
132	1955
133	109
134	92
135	469
136	1565
138	862
140	2322
141	210
142	76
144	4578
145	168
146	69
147	260
148	500
150	1785
152	1231
153	265
154	293
155	170
156	1576
158	71
159	165
160	5547
161	84
162	691
164	514
165	344
166	126
168	3030
170	596
171	157
172	595
174	604
175	242
176	1668
177	168
178	75
180	3320
182	295
183	136
184	1131
185	113
186	646
188	415
189	278
190	533
192	3970
194	46
195	283
196	746
198	612
200	2724
201	171
202	55
203	44
204	1256
205	104
206	59
207	145
208	1328
210	1267
212	347
213	138
214	73
215	159
216	1847
217	52
218	51
219	117
220	986
222	463
224	1563
225	273
226	46
228	901
230	450
231	164
232	695
234	413
235	109
236	318
237	131
238	191
240	5939
242	33
243	87
244	306
245	162
246	461
248	831
249	202
250	456
252	1456
254	58
255	235
256	1403
258	449
259	43
260	761
261	122
262	51
264	1300
265	81
266	181
267	108
268	296
270	906
272	923
273	165
274	41
275	97
276	790
278	44
279	103
280	1574
282	343
284	215
285	197
286	48
287	27
288	1994
290	297
291	77
292	199
294	535
295	86
296	521
297	100
298	22
300	1944
301	64
302	32
303	85
304	696
305	69
306	339
308	412
309	91
310	308
312	929
314	31
315	219
316	212
318	294
320	3165
321	106
322	152
324	606
325	62
326	59
327	69
328	617
329	28
330	549
332	340
333	80
334	31
335	82
336	1587
338	38
339	67
340	601
342	254
343	29
344	550
345	139
346	43
348	487
350	399
351	56
352	785
354	226
355	63
356	193
357	116
358	49
360	2650
362	24
363	45
364	349
365	52
366	280
368	701
369	131
370	247
371	30
372	592
374	28
375	156
376	444
378	425
380	489
381	69
382	30
384	1416
385	89
386	26
387	70
388	166
390	397
392	521
393	73
394	27
395	68
396	493
398	22
399	82
400	1756
402	195
404	147
405	126
406	125
408	704
410	223
411	59
412	157
413	28
414	195
415	100
416	543
417	70
418	22
420	1124
422	16
423	53
424	348
425	57
426	171
427	27
428	149
429	50
430	205
432	891
434	84
435	104
436	129
438	169
440	666
441	104
442	22
444	349
445	51
446	29
447	32
448	603
450	578
452	117
453	52
454	22
455	72
456	522
458	19
459	48
460	379
462	278
464	328
465	101
466	25
468	290
469	29
470	189
471	30
472	238
474	170
475	52
476	217
477	42
478	12
480	3277
482	16
483	67
484	129
485	52
486	229
488	325
489	100
490	264
492	544
494	29
495	116
496	499
497	17
498	204
500	437
501	51
502	16
504	876
505	42
506	20
507	47
508	142
510	364
511	22
512	569
513	57
514	18
515	45
516	368
518	84
519	45
520	508
522	176
524	124
525	111
526	16
528	673
530	155
531	44
532	205
534	147
535	40
536	255
537	51
538	15
539	16
540	800
542	15
543	36
544	329
545	32
546	255
548	104
549	64
550	144
552	465
553	18
554	15
555	88
556	110
558	134
560	872
561	49
562	6
564	294
565	38
566	16
567	70
568	233
570	262
572	84
573	37
574	79
575	31
576	715
578	10
579	32
580	223
581	33
582	117
584	176
585	82
586	7
588	369
590	95
591	26
592	250
594	130
595	54
596	69
597	38
598	9
600	1355
602	79
603	36
604	88
605	27
606	133
608	295
609	78
610	136
612	254
614	9
615	93
616	325
618	116
620	316
621	26
622	14
623	13
624	468
625	32
626	11
627	20
628	72
630	333
632	176
633	32
634	14
635	36
636	192
637	16
638	21
639	37
640	1546
642	98
644	174
645	62
646	25
648	386
650	152
651	47
652	149
654	88
655	50
656	387
657	31
658	70
660	432
662	13
663	21
664	270
665	50
666	97
668	94
669	28
670	102
672	674
674	7
675	98
676	80
678	92
679	8
680	413
681	31
682	11
684	201
685	38
686	70
687	27
688	296
690	184
692	78
693	44
694	9
695	24
696	285
698	15
699	27
700	332
702	86
704	269
705	59
706	10
707	10
708	153
710	102
711	32
712	148
714	122
715	29
716	62
717	32
718	7
720	1644
721	25
722	8
723	21
724	69
725	21
726	138
728	258
729	57
730	110
732	282
734	10
735	67
736	328
738	114
740	176
741	41
742	69
744	375
745	27
746	8
747	43
748	86
749	17
750	254
752	226
753	43
754	9
755	24
756	275
758	8
759	27
760	312
762	70
763	10
764	63
765	65
766	12
768	424
770	135
771	33
772	54
774	82
775	23
776	123
777	36
778	9
780	297
782	8
783	29
784	240
785	18
786	85
788	53
789	30
790	74
791	14
792	284
794	9
795	44
796	69
798	92
800	896
801	29
802	8
804	147
805	26
806	9
807	17
808	171
810	187
812	128
813	15
814	4
815	37
816	332
818	10
819	32
820	200
822	50
824	140
825	37
826	36
828	130
830	106
831	21
832	214
833	12
834	64
835	21
836	55
837	27
838	4
840	689
842	9
843	21
844	54
845	29
846	59
847	14
848	158
849	17
850	116
852	117
854	57
855	68
856	102
858	50
860	165
861	46
862	9
864	274
865	20
866	6
867	27
868	109
870	137
872	101
873	20
874	6
875	37
876	115
878	7
879	14
880	306
882	103
884	48
885	36
886	13
888	171
889	13
890	62
891	21
892	47
894	54
895	26
896	214
897	21
898	2
900	507
902	6
903	26
904	91
905	20
906	53
908	39
909	31
910	109
912	209
914	3
915	55
916	38
917	15
918	63
920	204
921	21
922	7
924	207
925	25
926	3
927	13
928	114
930	138
931	9
932	43
933	16
934	5
935	21
936	146
938	37
939	15
940	127
942	54
944	107
945	59
946	5
948	89
950	74
951	9
952	130
954	54
955	21
956	40
957	15
958	4
959	9
960	1405
962	9
963	8
964	47
965	18
966	137
968	124
969	48
970	48
972	228
973	8
974	10
975	36
976	212
978	101
980	192
981	32
982	9
984	273
985	12
986	8
987	23
988	58
990	115
992	181
993	23
994	43
995	15
996	142
998	5
999	15
1000	307
1001	7
1002	58
1004	53
1005	32
1006	5
1008	332
1010	54
1011	20
1012	43
1014	50
1015	24
1016	100
1017	21
1018	5
1020	249
1022	26
1023	11
1024	166
1025	20
1026	51
1028	46
1029	36
1030	63
