Pay	Frequency
0	996802563
2	25948
3	21934
4	35160
5	4787
6	27629
7	7239
8	41765
9	8373
10	27155
11	9726
12	35089
13	6646
14	19154
15	8815
16	35166
17	6305
18	19919
19	9153
20	38629
21	6477
22	19686
23	9985
24	32341
25	8123
26	19965
27	9574
28	24336
29	7374
30	21835
31	8496
32	26532
33	7400
34	18220
35	8717
36	22192
37	6753
38	16185
39	7667
40	30534
41	6532
42	17701
43	9214
44	20335
45	6712
46	15997
47	7442
48	22225
49	6600
50	17203
51	7608
52	18330
53	6449
54	14503
55	7164
56	17007
57	6089
58	13584
59	6704
60	22991
61	5706
62	13649
63	7562
64	17066
65	6068
66	13522
67	6616
68	15347
69	5813
70	12692
71	6185
72	15332
73	5715
74	11599
75	7377
76	13160
77	5588
78	10878
79	5933
80	20882
81	5445
82	11981
83	7460
84	13830
85	5761
86	11271
87	6173
88	13605
89	5482
90	12193
91	6306
92	12746
93	5604
94	10335
95	5825
96	12492
97	5017
98	10040
99	5745
100	13727
101	5016
102	9624
103	5920
104	11315
105	5107
106	9419
107	5488
108	10484
109	4887
110	9399
111	5174
112	9945
113	4850
114	8545
115	5288
116	9249
117	4619
118	7811
119	4748
120	15107
121	4404
122	9004
123	5988
124	9855
125	4533
126	8758
127	4818
128	9956
129	4648
130	8590
131	4860
132	9215
133	4433
134	7617
135	4856
136	8923
137	4338
138	7461
139	4633
140	9688
141	4285
142	7226
143	4621
144	8491
145	4137
146	7068
147	4314
148	7581
149	3958
150	8059
151	4137
152	7771
153	4111
154	6597
155	4426
156	7162
157	3800
158	6537
159	4008
160	11213
161	3604
162	6996
163	4719
164	7907
165	3984
166	6904
167	4081
168	7778
169	3919
170	7176
171	4131
172	7347
173	3900
174	6268
175	4127
176	7096
177	3672
178	5944
179	3894
180	8877
181	3574
182	6293
183	4188
184	6902
185	3758
186	6240
187	3882
188	6682
189	3610
190	6327
191	3833
192	6519
193	3588
194	5678
195	3782
196	6092
197	3472
198	5489
199	3591
200	7456
