Pay	Frequency
0	99710
6	1
8	3
9	4
12	5
16	6
18	4
20	1
21	1
24	8
28	1
30	6
32	6
33	1
36	5
40	4
42	1
45	1
48	5
49	1
50	1
52	1
56	2
57	1
60	7
64	1
69	1
72	1
76	1
80	4
84	3
96	3
98	1
99	1
102	1
104	2
120	3
122	1
126	2
132	3
133	1
144	1
148	1
150	1
156	1
160	2
169	1
172	1
174	1
176	1
178	1
180	1
184	1
186	1
190	1
192	1
195	2
200	2
204	1
210	2
212	1
213	1
220	1
222	1
224	1
238	1
240	2
243	1
248	1
254	1
256	1
264	4
268	1
273	1
276	2
279	1
280	3
294	1
296	1
300	2
304	1
312	2
318	1
328	1
336	2
344	1
352	1
360	2
366	1
378	1
380	2
384	1
387	1
396	1
404	1
408	1
416	1
417	1
424	2
468	1
472	1
474	1
480	2
488	1
490	1
504	1
508	1
512	1
519	1
522	1
524	1
528	1
542	1
549	1
554	1
584	1
592	1
600	1
612	1
616	1
620	1
685	1
696	1
707	1
713	1
729	1
736	1
745	1
756	1
764	1
770	1
784	1
795	1
810	1
828	1
830	1
840	1
843	1
883	1
890	1
892	2
930	1
935	1
959	1
966	1
974	2
980	1
984	1
1000	1
1008	1
1141	1
1144	1
1184	1
1203	1
1206	1
1218	1
1233	1
1242	1
1267	1
1280	1
1312	1
1334	1
1356	1
1410	1
1471	1
1510	1
1516	1
1561	1
1579	1
1626	1
1692	1
1908	1
1952	1
2000	1
2032	1
2057	1
2064	1
2149	1
2168	1
2206	1
2220	1
2236	1
2290	1
2296	1
2300	1
2336	1
2382	1
2525	1
2574	1
2860	1
2940	1
3021	1
3112	1
3246	1
3600	1
3618	1
3672	1
3810	1
3884	1
4609	1
5040	1
5080	1
5472	1
8318	1
9265	1
9447	1
