Pay	Frequency
0	998464686
100	290678
200	19486
250	261254
300	877
350	34934
400	36
450	2324
500	248672
550	135
600	32994
650	2
700	2235
750	231408
800	111
850	30556
900	2
950	2105
1000	183264
1050	118
1100	24259
1150	4
1200	1666
1250	42059
1300	86
1350	5709
1400	7
1450	423
1500	31779
1550	24
1600	4433
1650	4
1700	338
1750	18118
1800	20
1850	2517
1900	1
1950	211
2000	9032
2050	20
2100	1322
2200	108
2250	3048
2300	9
2350	493
2400	1
2450	49
2500	11939
2550	3
2600	1669
2650	1
2700	110
2750	2024
2800	3
2850	304
2950	17
3000	1516
3050	3
3100	211
3200	17
3250	1185
3300	2
3350	196
3450	16
3500	1010
3550	2
3600	152
3700	11
3750	243
3800	1
3850	43
3950	4
4000	177
4100	26
4200	2
4250	94
4350	18
4450	1
4500	59
4600	8
4700	1
4750	14
4850	3
4950	1
5000	10142
5100	1328
5200	107
5250	1240
5300	11
5350	151
5400	1
5450	15
5500	1133
5550	1
5600	130
5700	10
5750	1107
5850	157
5950	6
6000	880
6050	1
6100	150
6200	10
6250	188
6300	1
6350	24
6450	1
6500	171
6600	31
6750	78
6850	11
6950	1
7000	44
7100	9
7250	18
7350	2
7500	63
7600	7
7750	11
7850	2
8000	11
8100	4
8250	5
8350	1
8500	4
8700	1
8750	1
9000	1
10000	5922
10100	786
10200	51
10250	702
10300	6
10350	96
10450	10
10500	679
10600	106
10700	3
10750	586
10800	2
10850	76
10950	6
11000	470
11100	63
11150	1
11200	5
11250	111
11350	22
11450	2
11500	70
11600	15
11700	1
11750	49
11850	13
11950	1
12000	29
12100	6
12250	13
12350	2
12450	1
12500	36
12600	4
12700	1
12750	5
12850	1
13000	6
13100	1
13250	2
13350	1
13500	11
13600	1
14500	1
15000	20
15100	5
15250	1
15450	1
15500	1
15600	1
15750	4
16000	2
16500	2
17000	1
17500	1
20000	9
20250	3
23100	1
