Pay	Frequency
0	99750
2	1
3	1
4	7
6	1
8	1
9	1
10	1
11	1
12	3
13	1
14	2
15	1
16	2
17	1
19	1
20	7
21	1
22	1
23	1
24	4
25	1
26	2
27	2
28	5
29	1
31	1
32	7
33	1
34	4
36	3
37	1
38	1
40	3
41	2
44	1
45	2
46	2
47	1
48	4
49	1
50	1
52	2
53	2
54	3
55	1
56	3
59	1
60	7
64	1
65	2
67	1
68	5
73	1
74	2
80	3
82	2
83	2
84	2
85	1
86	3
88	2
89	1
91	1
93	1
94	2
96	2
98	1
100	2
101	1
102	1
104	2
107	1
108	2
109	2
110	2
112	2
115	1
117	2
119	1
121	1
126	3
127	1
128	2
133	1
134	2
136	3
140	1
144	1
145	1
148	2
149	1
153	1
155	1
160	1
161	1
162	1
163	3
164	1
170	1
171	1
174	1
177	1
179	1
183	1
189	1
194	1
197	1
200	2
206	2
212	1
213	1
214	1
215	1
221	1
222	1
223	1
224	1
226	1
232	1
235	1
237	1
259	1
261	1
263	1
276	1
282	1
287	1
288	3
301	1
304	1
310	1
320	1
331	1
332	1
344	1
367	1
373	1
384	1
406	1
437	1
439	1
447	1
452	1
462	2
464	1
466	1
484	1
616	1
664	1
674	1
676	1
724	1
744	1
763	1
767	1
935	1
1385	1
