Pay	Frequency
0	99914
90	1
96	1
180	1
216	1
220	1
224	1
240	1
246	1
260	1
280	1
296	1
300	1
306	1
308	1
312	2
315	1
320	1
340	1
345	1
363	1
364	1
366	1
404	1
416	1
420	1
430	1
434	1
456	1
512	1
520	1
528	1
535	1
536	1
540	1
576	1
588	1
600	3
630	1
644	1
655	1
672	1
680	1
752	1
790	1
798	1
801	1
810	1
924	1
960	2
992	1
1020	1
1050	1
1060	1
1062	1
1140	1
1200	2
1244	1
1260	1
1264	1
1276	1
1288	1
1312	1
1323	1
1358	1
1505	1
1630	1
1648	1
1680	1
1705	1
1861	1
2200	1
2400	1
2652	1
2730	1
2755	1
2802	1
2900	1
3200	1
3549	1
4220	1
6730	1
