Pay	Frequency
0	75367
2	2217
3	1344
4	2569
5	307
6	1215
7	356
8	1421
9	220
10	686
11	268
12	952
13	160
14	398
15	161
16	635
17	138
18	322
19	164
20	624
21	99
22	288
23	147
24	573
25	110
26	263
27	140
28	268
29	76
30	252
31	87
32	307
33	66
34	167
35	88
36	211
37	75
38	147
39	72
40	421
41	51
42	156
43	78
44	158
45	51
46	116
47	51
48	232
49	52
50	201
51	58
52	100
53	33
54	92
55	47
56	98
57	34
58	62
59	47
60	188
61	43
62	86
63	45
64	86
65	35
66	63
67	35
68	68
69	14
70	56
71	34
72	80
73	16
74	56
75	35
76	44
77	20
78	35
79	23
80	191
81	21
82	67
83	39
84	69
85	24
86	43
87	32
88	56
89	21
90	61
91	18
92	35
93	13
94	32
95	17
96	71
97	15
98	32
99	22
100	147
101	25
102	29
103	21
104	31
105	13
106	26
107	12
108	29
109	12
110	32
111	11
112	31
113	11
114	13
115	15
116	16
117	6
118	18
119	14
120	58
121	10
122	25
123	13
124	26
125	13
126	16
127	16
128	18
129	10
130	23
131	12
132	26
133	7
134	28
135	7
136	23
137	9
138	10
139	9
140	21
141	3
142	15
143	6
144	30
145	8
146	10
147	6
148	6
149	4
150	22
151	5
152	7
153	3
154	8
155	6
156	11
157	2
158	8
159	4
160	35
161	4
162	12
163	6
164	14
165	6
166	13
167	6
168	15
169	4
170	9
171	9
172	14
173	7
174	8
175	6
176	13
177	6
178	9
179	8
180	33
181	3
182	11
183	6
184	15
185	3
186	7
187	3
188	6
189	2
190	10
191	3
192	16
193	3
194	3
195	2
196	1
197	2
198	4
199	2
200	15
201	3
202	10
203	4
204	4
205	3
206	4
207	4
208	7
209	4
210	7
211	3
212	6
213	4
214	7
215	4
216	8
217	3
218	5
219	3
220	8
221	2
222	8
223	1
224	7
225	6
226	4
227	3
228	5
229	2
230	4
231	4
232	5
233	2
234	4
235	1
236	4
237	2
238	1
239	5
240	28
241	2
242	3
244	12
245	1
246	8
247	2
248	6
250	86
251	1
252	10
253	6
254	10
255	4
256	5
257	2
258	6
259	2
260	10
261	3
262	1
264	6
265	1
266	3
268	4
269	3
270	7
271	1
272	2
273	3
274	4
275	1
276	3
278	5
279	4
280	6
282	3
284	2
285	4
286	5
288	9
290	1
291	2
292	4
293	1
294	3
295	2
296	1
298	3
299	2
300	9
301	2
302	3
303	2
304	6
305	1
306	2
307	2
308	1
309	2
310	3
312	4
313	1
314	4
316	1
317	1
318	3
319	1
320	14
322	1
323	2
324	4
326	1
327	3
328	4
329	3
330	4
331	1
332	6
333	2
334	4
335	2
336	5
337	1
338	1
339	1
340	2
341	1
342	3
343	1
344	1
345	1
348	4
350	7
352	5
353	1
356	2
360	11
362	1
363	3
364	9
365	2
366	4
367	1
368	5
369	1
370	3
371	1
372	6
374	1
375	1
376	1
377	2
378	4
379	1
380	2
381	2
382	3
384	2
386	1
388	4
390	2
391	1
392	3
395	2
396	4
397	1
399	2
400	7
404	4
406	3
408	1
410	5
411	1
412	1
413	2
414	1
416	1
418	2
420	5
423	1
425	3
426	2
427	3
428	5
429	2
431	1
432	3
434	3
435	5
436	2
437	1
438	1
439	1
444	3
445	1
447	2
448	2
449	1
450	3
454	1
455	4
456	1
457	1
458	2
459	3
460	6
461	1
462	1
463	1
464	2
466	2
467	1
468	1
469	1
470	1
472	1
475	1
480	8
481	1
482	1
483	1
484	1
486	1
487	1
488	3
490	1
493	1
494	1
496	2
499	1
500	73
501	1
502	3
503	2
504	3
508	2
510	1
511	2
512	3
514	2
515	1
516	5
517	1
518	1
520	1
521	2
524	2
527	1
528	2
529	2
530	1
534	1
535	1
536	1
538	1
539	1
545	1
546	1
548	1
549	2
550	1
552	4
554	1
555	1
560	3
561	1
563	1
567	1
569	1
570	3
572	1
573	1
574	1
577	1
580	2
582	1
584	1
585	2
588	1
590	1
592	1
596	1
600	5
602	2
603	2
604	1
606	1
608	2
610	1
612	2
614	1
616	2
619	2
622	2
624	3
627	1
631	1
635	2
638	1
640	6
641	1
642	1
648	2
650	2
651	1
652	2
653	1
654	1
656	2
658	2
660	1
664	2
665	1
668	2
671	1
672	4
680	2
681	1
684	2
687	2
688	1
690	2
695	1
700	3
707	1
709	1
710	2
712	1
713	1
714	1
720	7
723	1
727	1
728	2
730	1
731	1
735	1
736	2
738	3
740	1
741	1
742	1
743	2
744	1
747	1
750	73
755	1
756	1
757	2
763	1
767	1
770	1
777	1
779	1
780	3
782	1
784	1
789	1
790	1
796	1
797	1
800	1
803	1
808	1
810	2
812	3
818	1
819	1
827	1
828	1
833	1
836	1
840	3
845	1
847	1
848	2
855	1
861	1
862	1
865	1
868	2
869	1
873	1
875	1
876	1
880	1
887	1
892	1
895	1
896	1
900	6
902	1
905	1
906	1
908	1
910	2
912	2
914	1
915	1
916	1
917	1
922	1
926	1
929	1
930	1
935	1
938	1
940	1
943	1
946	1
949	1
956	1
960	1
972	2
973	1
976	1
981	1
986	1
990	1
993	1
998	2
999	1
1000	2
1008	1
1011	1
1016	1
1024	1
1025	1
1027	1
1028	1
1029	1
1036	1
1037	1
1038	1
1040	1
1060	1
1062	1
1064	1
1080	3
1084	1
1085	1
1090	1
1096	1
1098	1
1104	1
1107	1
1117	1
1124	1
1128	1
1132	1
1136	1
1153	1
1160	1
1164	1
1170	2
1176	1
1177	1
1179	1
1194	1
1200	1
1204	1
1205	1
1208	1
1210	1
1214	1
1219	1
1226	1
1234	1
1235	1
1237	1
1240	1
1246	2
1259	1
1260	3
1263	1
1280	2
1302	1
1304	1
1309	1
1310	1
1320	3
1328	1
1332	1
1336	1
1342	1
1356	3
1358	1
1369	1
1377	1
1384	1
1391	1
1394	1
1397	1
1401	1
1404	1
1419	1
1420	1
1428	1
1432	1
1433	1
1436	1
1444	1
1446	2
1456	1
1465	1
1477	1
1480	1
1481	1
1484	1
1491	1
1494	1
1500	6
1504	1
1506	1
1512	3
1520	1
1538	1
1540	1
1552	1
1559	1
1562	1
1572	1
1573	1
1576	1
1583	1
1584	1
1589	1
1609	1
1610	1
1613	1
1626	1
1627	1
1631	1
1635	1
1639	1
1648	2
1652	1
1662	1
1663	1
1664	1
1672	1
1680	1
1688	1
1700	1
1705	1
1715	1
1722	1
1725	1
1726	1
1729	1
1739	1
1749	1
1753	1
1755	1
1761	1
1764	1
1800	1
1812	1
1819	1
1828	1
1844	1
1850	1
1855	1
1856	1
1857	1
1878	1
1882	1
1900	1
1918	1
1924	1
1953	1
1970	2
1982	1
2005	1
2006	1
2011	1
2024	1
2035	1
2043	1
2117	1
2124	1
2133	1
2157	1
2164	1
2166	1
2167	2
2170	1
2201	1
2215	1
2220	1
2224	1
2227	1
2233	1
2253	1
2280	1
2282	1
2326	1
2338	2
2343	1
2354	1
2415	1
2416	1
2432	1
2440	1
2445	1
2462	1
2499	1
2500	1
2504	1
2517	1
2521	1
2532	1
2604	1
2630	1
2682	1
2725	1
2728	1
2748	1
2775	1
2791	1
2806	1
2823	1
2837	1
2864	1
2870	1
2934	1
2940	1
3009	1
3018	1
3019	1
3020	1
3040	1
3074	1
3094	1
3117	1
3169	1
3200	1
3205	1
3216	1
3241	1
3258	1
3376	1
3380	1
3485	1
3566	1
3600	1
3639	1
3653	1
3677	1
3701	1
3723	1
3724	1
3923	1
3987	1
4160	1
4324	1
4329	1
4454	1
4455	1
4531	1
4639	1
4656	1
4711	1
4907	1
5000	2
5085	1
5120	1
5184	1
5385	1
5544	1
5649	1
5712	1
6022	1
6046	1
6078	1
6730	1
6900	1
7086	1
7478	1
8382	1
9750	1
10000	5
11102	1
11513	1
13421	1
14359	1
14690	1
