Pay	Frequency
0	91246761
2	694915
3	521194
4	756134
5	98610
6	440940
7	141494
8	499934
9	107700
10	301193
11	112256
12	330954
13	76018
14	169455
15	81580
16	272550
17	57121
18	137312
19	68885
20	273242
21	45158
22	118364
23	59266
24	190951
25	54845
26	100107
27	53899
28	105017
29	38294
30	103389
31	38406
32	119573
33	31351
34	69489
35	36900
36	74234
37	26140
38	53237
39	25529
40	153054
41	20366
42	58226
43	33080
44	64251
45	24180
46	48793
47	24783
48	73147
49	18548
50	51476
51	22559
52	49117
53	18576
54	36650
55	18250
56	39635
57	14645
58	29053
59	14833
60	63403
61	12009
62	29732
63	15369
64	39298
65	12370
66	25690
67	13895
68	28775
69	10424
70	23457
71	10717
72	26448
73	9168
74	18263
75	11395
76	19386
77	8070
78	15287
79	7963
80	58934
81	7039
82	20764
83	13295
84	24239
85	9410
86	18832
87	9840
88	21708
89	7530
90	18721
91	8176
92	18071
93	6908
94	13581
95	7132
96	18274
97	5925
98	12026
99	6617
100	21742
101	5177
102	12382
103	6640
104	14374
105	5666
106	10721
107	5733
108	11764
109	4697
110	10022
111	4784
112	10884
113	4251
114	8392
115	4504
116	8764
117	3744
118	7163
119	3707
120	24865
121	3214
122	9774
123	5485
124	10934
125	4272
126	8423
127	4348
128	10258
129	3468
130	7741
131	3757
132	8167
133	3100
134	6212
135	3345
136	7249
137	2759
138	5245
139	2797
140	7242
141	2312
142	5101
143	2755
144	6407
145	2374
146	4539
147	2451
148	4816
149	2075
150	5914
151	2074
152	4831
153	2178
154	3895
155	2229
156	4114
157	1926
158	3608
159	1755
160	15467
161	1683
162	5473
163	3520
164	6214
165	2473
166	5057
167	2562
168	5897
169	2053
170	5051
171	2298
172	4899
173	1957
174	3861
175	1925
176	4391
177	1789
178	3360
179	1723
180	6621
181	1530
182	3495
183	1995
184	4132
185	1597
186	2993
187	1673
188	3411
189	1464
190	3200
191	1450
192	3492
193	1366
194	2494
195	1386
196	2770
197	1176
198	2071
199	1205
200	6375
201	1021
202	2864
203	1547
204	3326
205	1403
206	2623
207	1356
208	3156
209	1147
210	2593
211	1224
212	2790
213	1106
214	2299
215	1231
216	2458
217	997
218	1905
219	1036
220	2544
221	887
222	1827
223	990
224	2164
225	1267
226	1675
227	930
228	1814
229	914
230	1767
231	881
232	1750
233	811
234	1383
235	908
236	1580
237	792
238	1191
239	771
240	6775
241	712
242	2186
243	1319
244	2676
245	1053
246	2063
247	1060
248	2464
249	871
250	1977
251	926
252	1986
253	860
254	1556
255	906
256	1831
257	689
258	1309
259	685
260	1806
261	666
262	1326
263	691
264	1530
265	629
266	1228
267	666
268	1235
269	613
270	1238
271	566
272	1242
273	530
274	887
275	583
276	1016
277	494
278	862
279	482
280	1394
281	458
282	835
283	498
284	933
285	459
286	781
287	456
288	941
289	398
290	756
291	442
292	759
293	350
294	634
295	386
296	753
297	348
298	609
299	366
300	1933
301	304
302	899
303	523
304	1078
305	487
306	844
307	491
308	1003
309	412
310	799
311	374
312	812
313	375
314	691
315	402
316	763
317	327
318	553
319	319
320	2878
321	268
322	993
323	671
324	1202
325	484
326	969
327	461
328	1093
329	369
330	957
331	450
332	931
333	387
334	740
335	370
336	834
337	322
338	628
339	346
340	891
341	318
342	651
343	356
344	792
345	316
346	570
347	312
348	603
349	263
350	548
351	286
352	560
353	258
354	473
355	268
356	529
357	228
358	466
359	232
360	1711
361	207
362	665
363	396
364	802
365	341
366	635
367	331
368	762
369	273
370	600
371	290
372	623
373	251
374	462
375	260
376	510
377	221
378	425
379	220
380	588
381	199
382	417
383	237
384	516
385	203
386	366
387	220
388	384
389	178
390	344
391	174
392	425
393	207
394	326
395	203
396	334
397	158
398	308
399	163
400	1128
401	138
402	397
403	240
404	470
405	219
406	422
407	239
408	549
409	191
410	404
411	226
412	507
413	190
414	337
415	183
416	416
417	162
418	336
419	169
420	457
421	179
422	295
423	181
424	398
425	168
426	303
427	189
428	328
429	138
430	298
431	111
432	327
433	141
434	235
435	152
436	290
437	151
438	209
439	136
440	338
441	125
442	228
443	153
444	264
445	110
446	219
447	113
448	247
449	98
450	543
451	105
452	281
453	173
454	297
455	138
456	326
457	138
458	252
459	117
460	333
461	142
462	251
463	134
464	225
465	113
466	233
467	110
468	231
469	99
470	212
471	110
472	189
473	92
474	184
475	106
476	175
477	97
478	159
479	83
480	1242
481	94
482	389
483	229
484	457
485	171
486	358
487	184
488	406
489	132
490	350
491	141
492	386
493	109
