Pay	Frequency
0	996672264
48	7561
52	1818
54	280
56	4583
58	91
60	8275
62	220
64	6276
66	339
68	1657
70	290
72	12113
74	248
76	3423
78	1669
80	5095
81	235
82	3481
84	7579
86	968
87	71
88	5680
90	9718
92	3497
93	181
94	727
96	25166
98	973
99	243
100	3779
102	2709
104	11534
105	244
106	1604
108	8174
110	1748
111	148
112	15309
114	5930
116	5387
117	290
118	1231
120	35582
122	1408
123	2640
124	5100
126	4561
128	14247
129	685
130	6411
132	10864
134	1369
135	3202
136	8595
138	4305
140	12240
141	459
142	1279
144	26300
145	119
146	2154
147	743
148	4274
150	14802
152	10953
153	999
154	1433
155	297
156	12258
158	1397
159	1304
160	22414
162	3892
164	9042
165	1699
166	1454
168	25184
170	4438
171	2588
172	4843
174	5172
175	389
176	11617
177	913
178	1723
180	30876
182	3675
183	1110
184	10027
185	257
186	5532
188	4068
189	1395
190	6327
192	27498
194	1516
195	3392
196	10281
198	6267
200	18751
201	1007
202	1630
203	87
204	9802
205	4378
206	1712
207	1205
208	15088
210	19850
212	5364
213	983
214	1775
215	1126
216	16032
217	217
218	1395
219	1477
220	13610
222	4585
224	23530
225	6309
226	1666
228	12232
230	6395
231	1387
232	10031
234	4788
235	806
236	4197
237	966
238	2980
240	47305
242	1517
243	1220
244	4682
245	1593
246	5638
248	8665
249	1006
250	6319
252	14818
254	1279
255	3438
256	12245
258	4097
259	217
260	20857
261	929
262	1286
264	15131
265	2067
266	4517
267	1284
268	3785
270	11414
272	11924
273	1722
274	989
275	2182
276	9340
278	1245
279	1328
280	30659
282	3541
284	3747
285	5770
286	1180
287	3477
288	21301
290	8312
291	998
292	4840
294	8649
295	1481
296	7521
297	1091
298	981
300	29160
301	891
302	1021
303	1184
304	11467
305	1814
306	3707
308	9013
309	1253
310	7156
312	11475
314	839
315	7275
316	3276
318	3836
320	24314
321	1352
322	4504
324	7687
325	5307
326	984
327	981
328	7826
329	687
330	12509
332	3376
333	1031
334	846
335	1709
336	25670
338	758
339	1180
340	13901
342	3329
343	1015
344	6049
345	3375
346	766
348	6538
350	12262
351	1030
352	9321
354	2968
355	1700
356	3841
357	2300
358	731
360	34333
362	684
363	1095
364	13655
365	2671
366	3101
368	8612
369	1155
370	6214
371	1614
372	6503
374	770
375	3821
376	5629
378	5772
380	13979
381	979
382	674
